purchase_request,Date,month-year,labels,total,currency,status,responsible
TTK-93608482,09/5/2020,5-2020,company_c,36946.48,PLN,Clarification,buyer_6
TTK-66592202,11/3/2020,3-2020,company_c,40835.59,CHF,In Progress,buyer_5
TTK-90163048,23/5/2020,5-2020,company_c,22457.61,EUR,Clarification,buyer_4
TTK-63546403,31/3/2020,3-2020,company_b,20285.97,CHF,In Progress,buyer_3
TTK-95652025,21/1/2020,1-2020,company_c,1065.87,EUR,Closed,buyer_10
TTK-76050682,21/12/2019,12-2019,company_c,47332.1,CHF,On hold,buyer_6
TTK-59525782,21/6/2020,6-2020,company_c,15461.52,CHF,Open,buyer_5
TTK-96519148,07/3/2020,3-2020,company_a,3884.27,CHF,Open,buyer_7
TTK-19504875,10/8/2020,8-2020,company_a,73977.59,USD,Clarification,buyer_1
TTK-72816564,24/2/2020,2-2020,company_a,88325.41,USD,Clarification,buyer_10
TTK-75955461,31/5/2020,5-2020,company_b,44300.86,EUR,Open,buyer_2
TTK-85169117,19/1/2020,1-2020,company_a,8498.67,PLN,Open,buyer_5
TTK-27913568,01/6/2020,6-2020,company_b,28030.36,USD,Open,buyer_5
TTK-3653927,20/1/2020,1-2020,company_c,33195.62,PLN,In Progress,buyer_2
TTK-51260616,03/5/2020,5-2020,company_a,3216.58,USD,Open,buyer_9
TTK-91395160,17/4/2020,4-2020,company_b,37800.51,CHF,Open,buyer_6
TTK-53611988,30/6/2020,6-2020,company_a,41824.74,USD,Clarification,buyer_3
TTK-42649118,15/3/2020,3-2020,company_c,57769.28,USD,On hold,buyer_6
TTK-51626204,30/6/2020,6-2020,company_c,64863.44,USD,Open,buyer_2
TTK-2606914,02/5/2020,5-2020,company_b,56144.44,USD,On hold,buyer_3
TTK-91940477,20/7/2020,7-2020,company_b,61798.24,CHF,On hold,buyer_4
TTK-63630602,09/7/2020,7-2020,company_b,16640.42,USD,Clarification,buyer_4
TTK-35956967,05/4/2020,4-2020,company_a,27688.92,EUR,On hold,buyer_2
TTK-24414434,01/3/2020,3-2020,company_b,6757.98,USD,Open,buyer_3
TTK-97676697,30/12/2019,12-2019,company_a,17217.38,USD,Open,buyer_10
TTK-61684425,26/6/2020,6-2020,company_c,2755.94,PLN,Clarification,buyer_10
TTK-99066508,26/2/2020,2-2020,company_c,10495.32,CHF,Open,buyer_10
TTK-24659135,20/12/2019,12-2019,company_c,3712.95,USD,Closed,buyer_7
TTK-49111260,14/7/2020,7-2020,company_a,81040.33,PLN,On hold,buyer_2
TTK-65277556,15/6/2020,6-2020,company_b,70487,EUR,Open,buyer_8
TTK-9230906,04/6/2020,6-2020,company_b,79830.84,EUR,On hold,buyer_10
TTK-14012706,01/1/2020,1-2020,company_a,80223.51,USD,In Progress,buyer_9
TTK-18011335,21/2/2020,2-2020,company_b,37812.1,CHF,On hold,buyer_6
TTK-17488258,15/1/2020,1-2020,company_b,56007.75,CHF,Closed,buyer_10
TTK-92167128,30/12/2019,12-2019,company_b,74547.85,EUR,Closed,buyer_9
TTK-97309414,19/12/2019,12-2019,company_c,91488.76,USD,Open,buyer_5
TTK-95119359,01/6/2020,6-2020,company_b,42634.58,PLN,In Progress,buyer_2
TTK-70225698,04/8/2020,8-2020,company_b,7758.32,PLN,Clarification,buyer_9
TTK-77615339,04/8/2020,8-2020,company_c,25923.83,EUR,Open,buyer_8
TTK-63590223,09/5/2020,5-2020,company_a,76142.1,EUR,In Progress,buyer_9
TTK-87385124,07/4/2020,4-2020,company_c,54169.93,CHF,Open,buyer_4
TTK-97237426,14/3/2020,3-2020,company_b,63463.11,USD,In Progress,buyer_7
TTK-37584109,04/1/2020,1-2020,company_b,9153.2,EUR,Open,buyer_6
TTK-94351756,10/8/2020,8-2020,company_b,40998.61,PLN,In Progress,buyer_10
TTK-36465047,20/7/2020,7-2020,company_c,79856.42,CHF,Clarification,buyer_4
TTK-39277573,20/1/2020,1-2020,company_c,56560.17,CHF,Open,buyer_6
TTK-15545221,11/1/2020,1-2020,company_c,14706.75,CHF,In Progress,buyer_4
TTK-89687518,24/3/2020,3-2020,company_a,74130.76,CHF,Clarification,buyer_2
TTK-70764976,10/3/2020,3-2020,company_a,42004.14,EUR,Open,buyer_10
TTK-1276499,11/1/2020,1-2020,company_c,80177.81,USD,In Progress,buyer_9
TTK-78140320,15/7/2020,7-2020,company_b,27753.6,USD,On hold,buyer_7
TTK-13230931,25/2/2020,2-2020,company_a,42256.7,USD,On hold,buyer_5
TTK-66651915,12/8/2020,8-2020,company_b,13080.51,CHF,Open,buyer_5
TTK-57544676,31/1/2020,1-2020,company_c,56336.98,CHF,In Progress,buyer_10
TTK-6569032,12/8/2020,8-2020,company_c,11644.83,CHF,On hold,buyer_9
TTK-30174079,26/4/2020,4-2020,company_c,32430.4,CHF,In Progress,buyer_8
TTK-68603586,15/5/2020,5-2020,company_b,78932.67,CHF,Open,buyer_3
TTK-71613645,11/3/2020,3-2020,company_c,73914.85,EUR,Open,buyer_10
TTK-77714895,07/4/2020,4-2020,company_a,48052.52,USD,On hold,buyer_4
TTK-28156725,18/1/2020,1-2020,company_c,92007.31,USD,On hold,buyer_2
TTK-4803487,10/5/2020,5-2020,company_b,29951.55,EUR,Open,buyer_2
TTK-92762090,30/5/2020,5-2020,company_c,86617.42,PLN,On hold,buyer_3
TTK-25359208,04/2/2020,2-2020,company_a,37115.8,PLN,Clarification,buyer_5
TTK-7188747,28/7/2020,7-2020,company_b,10133.32,CHF,Closed,buyer_6
TTK-42252275,22/6/2020,6-2020,company_c,39145.9,PLN,On hold,buyer_4
TTK-21412731,27/3/2020,3-2020,company_c,99820.33,PLN,Closed,buyer_3
TTK-84364238,15/3/2020,3-2020,company_b,12433.82,USD,Open,buyer_7
TTK-96359552,03/4/2020,4-2020,company_b,55883.73,CHF,In Progress,buyer_10
TTK-97988812,18/2/2020,2-2020,company_a,66769.12,PLN,In Progress,buyer_10
TTK-79429325,15/4/2020,4-2020,company_c,47780.51,EUR,Closed,buyer_7
TTK-55944452,11/1/2020,1-2020,company_c,58042.97,CHF,On hold,buyer_8
TTK-9724513,31/7/2020,7-2020,company_b,75503.29,PLN,Closed,buyer_5
TTK-91976091,05/7/2020,7-2020,company_a,32009.95,CHF,In Progress,buyer_4
TTK-34624679,22/7/2020,7-2020,company_b,57709.85,CHF,Open,buyer_9
TTK-85794720,24/3/2020,3-2020,company_b,68171.38,CHF,On hold,buyer_2
TTK-40869048,05/7/2020,7-2020,company_b,18070.77,PLN,In Progress,buyer_3
TTK-31742520,31/3/2020,3-2020,company_c,40469.96,CHF,Open,buyer_7
TTK-69490614,18/6/2020,6-2020,company_b,91693.48,CHF,Clarification,buyer_3
TTK-26013051,05/1/2020,1-2020,company_b,44828.23,EUR,Open,buyer_5
TTK-55839356,04/3/2020,3-2020,company_a,51580.79,CHF,On hold,buyer_5
TTK-83215272,28/6/2020,6-2020,company_a,48329.56,EUR,Closed,buyer_6
TTK-67820680,15/2/2020,2-2020,company_b,4384.57,EUR,Clarification,buyer_2
TTK-19543017,12/2/2020,2-2020,company_b,32600,PLN,On hold,buyer_8
TTK-630177,25/5/2020,5-2020,company_c,91086.53,PLN,Closed,buyer_3
TTK-7271778,07/8/2020,8-2020,company_c,42519.76,EUR,Closed,buyer_2
TTK-30440017,20/7/2020,7-2020,company_b,73394.4,PLN,Clarification,buyer_2
TTK-17232463,13/5/2020,5-2020,company_c,63374.73,USD,Open,buyer_8
TTK-98175953,23/12/2019,12-2019,company_a,15514.59,USD,Open,buyer_8
TTK-84129979,24/5/2020,5-2020,company_c,46366.1,PLN,Open,buyer_6
TTK-29159387,12/6/2020,6-2020,company_c,90733.39,CHF,In Progress,buyer_8
TTK-20312078,25/6/2020,6-2020,company_c,56404.2,PLN,On hold,buyer_8
TTK-48097536,27/4/2020,4-2020,company_b,81620.9,CHF,On hold,buyer_9
TTK-79801916,07/4/2020,4-2020,company_c,89227.48,USD,Closed,buyer_7
TTK-72099560,17/7/2020,7-2020,company_a,36069.78,PLN,Clarification,buyer_1
TTK-94531586,08/3/2020,3-2020,company_b,77291.82,PLN,In Progress,buyer_8
TTK-12265805,21/6/2020,6-2020,company_a,92530.72,EUR,Open,buyer_8
TTK-24506081,16/5/2020,5-2020,company_b,11878.57,EUR,In Progress,buyer_9
TTK-7284746,29/6/2020,6-2020,company_a,9442.83,CHF,Clarification,buyer_8
TTK-16571314,27/2/2020,2-2020,company_a,91865.5,CHF,Closed,buyer_4
TTK-40072170,03/5/2020,5-2020,company_c,19417.55,PLN,On hold,buyer_8
TTK-57388168,29/7/2020,7-2020,company_a,77281.36,USD,Clarification,buyer_10
TTK-20172749,04/5/2020,5-2020,company_c,37876.23,PLN,On hold,buyer_6
TTK-63634250,18/1/2020,1-2020,company_a,27703.37,CHF,Closed,buyer_7
TTK-72933456,25/4/2020,4-2020,company_c,22001.4,USD,Clarification,buyer_9
TTK-2304862,17/1/2020,1-2020,company_a,33786.82,USD,Clarification,buyer_9
TTK-47482562,04/5/2020,5-2020,company_b,56318.33,PLN,Open,buyer_5
TTK-69861237,19/4/2020,4-2020,company_a,69225.16,CHF,Open,buyer_7
TTK-68139087,18/6/2020,6-2020,company_a,38991.14,USD,Open,buyer_3
TTK-91908888,03/6/2020,6-2020,company_b,25506.95,USD,In Progress,buyer_3
TTK-45767259,13/4/2020,4-2020,company_a,37455.51,EUR,Clarification,buyer_1
TTK-50325735,06/2/2020,2-2020,company_a,31528.92,EUR,In Progress,buyer_10
TTK-56411831,12/7/2020,7-2020,company_b,15943.12,USD,On hold,buyer_7
TTK-36248845,18/1/2020,1-2020,company_c,12269.46,PLN,In Progress,buyer_6
TTK-28630651,13/8/2020,8-2020,company_b,55691.78,USD,Closed,buyer_3
TTK-92031557,03/3/2020,3-2020,company_b,6372.39,EUR,In Progress,buyer_9
TTK-87946282,10/4/2020,4-2020,company_b,83472.83,PLN,Open,buyer_6
TTK-38253528,19/1/2020,1-2020,company_b,75212.38,CHF,On hold,buyer_9
TTK-90565478,10/2/2020,2-2020,company_c,56027.91,USD,Closed,buyer_2
TTK-69020179,07/1/2020,1-2020,company_c,45036.19,PLN,In Progress,buyer_5
TTK-23673575,28/5/2020,5-2020,company_b,37673.54,EUR,In Progress,buyer_3
TTK-60853012,22/7/2020,7-2020,company_c,77406.45,CHF,Open,buyer_10
TTK-77932915,09/1/2020,1-2020,company_a,81653.57,PLN,Clarification,buyer_10
TTK-57512910,11/1/2020,1-2020,company_c,94498.6,EUR,On hold,buyer_6
TTK-40233379,30/1/2020,1-2020,company_a,89925.55,USD,On hold,buyer_1
TTK-64141013,27/3/2020,3-2020,company_b,16493.32,EUR,Clarification,buyer_4
TTK-50850675,18/3/2020,3-2020,company_a,79591.71,EUR,On hold,buyer_8
TTK-58263065,07/2/2020,2-2020,company_a,56352.34,PLN,Open,buyer_2
TTK-10448982,07/1/2020,1-2020,company_a,91620.8,EUR,Clarification,buyer_1
TTK-85858710,11/4/2020,4-2020,company_a,90602.59,EUR,Closed,buyer_7
TTK-32096116,04/1/2020,1-2020,company_c,33382.5,PLN,Open,buyer_9
TTK-65573431,24/2/2020,2-2020,company_a,21118.66,USD,On hold,buyer_4
TTK-26724193,02/3/2020,3-2020,company_b,5143.18,EUR,On hold,buyer_6
TTK-10557410,05/8/2020,8-2020,company_a,69728.39,USD,Open,buyer_5
TTK-51047205,10/1/2020,1-2020,company_c,48622.17,USD,In Progress,buyer_8
TTK-52143022,19/4/2020,4-2020,company_c,68830.31,CHF,On hold,buyer_2
TTK-42315356,08/2/2020,2-2020,company_c,26225.69,CHF,In Progress,buyer_9
TTK-96447814,17/1/2020,1-2020,company_c,81676.91,EUR,Closed,buyer_10
TTK-24809928,07/8/2020,8-2020,company_c,44927.71,EUR,On hold,buyer_9
TTK-40814141,24/1/2020,1-2020,company_a,50635.78,EUR,Closed,buyer_2
TTK-20687150,27/6/2020,6-2020,company_c,13818.48,CHF,Open,buyer_8
TTK-14680970,18/4/2020,4-2020,company_a,36539.16,PLN,In Progress,buyer_7
TTK-50671237,10/1/2020,1-2020,company_b,49807.14,USD,Clarification,buyer_2
TTK-1160847,03/2/2020,2-2020,company_a,83157.23,EUR,Clarification,buyer_4
TTK-75915889,16/8/2020,8-2020,company_b,2000.91,CHF,In Progress,buyer_6
TTK-21360045,01/3/2020,3-2020,company_a,81248.86,USD,Open,buyer_4
TTK-40600858,27/3/2020,3-2020,company_a,59785.79,PLN,On hold,buyer_6
TTK-28362803,22/7/2020,7-2020,company_c,23242.91,USD,In Progress,buyer_1
TTK-49087374,24/6/2020,6-2020,company_c,10846.99,USD,On hold,buyer_1
TTK-47486317,15/4/2020,4-2020,company_b,65532.17,EUR,Closed,buyer_6
TTK-68598478,10/1/2020,1-2020,company_a,98438.92,EUR,Open,buyer_9
TTK-16437958,06/2/2020,2-2020,company_b,90112.65,PLN,In Progress,buyer_5
TTK-44001259,22/4/2020,4-2020,company_a,65465.65,CHF,In Progress,buyer_7
TTK-41091842,30/12/2019,12-2019,company_c,49544.59,EUR,Clarification,buyer_8
TTK-51496715,23/6/2020,6-2020,company_a,94218.58,PLN,Clarification,buyer_6
TTK-16375503,27/7/2020,7-2020,company_b,31910.65,PLN,Closed,buyer_6
TTK-18594441,10/12/2019,12-2019,company_a,9366.76,EUR,On hold,buyer_3
TTK-83126411,11/5/2020,5-2020,company_a,25260.41,USD,On hold,buyer_3
TTK-23007390,25/4/2020,4-2020,company_a,10132.19,CHF,Closed,buyer_10
TTK-67087673,12/8/2020,8-2020,company_c,3090.11,EUR,In Progress,buyer_4
TTK-19846812,20/1/2020,1-2020,company_b,83140.83,EUR,In Progress,buyer_10
TTK-99649103,15/4/2020,4-2020,company_b,33978.3,CHF,Open,buyer_5
TTK-74015969,14/4/2020,4-2020,company_b,90773.58,USD,In Progress,buyer_8
TTK-44062999,31/3/2020,3-2020,company_b,18597.76,PLN,In Progress,buyer_1
TTK-88060485,13/2/2020,2-2020,company_b,76331.7,EUR,On hold,buyer_8
TTK-11590784,19/5/2020,5-2020,company_b,9144.1,EUR,Open,buyer_2
TTK-51724520,11/5/2020,5-2020,company_a,32938.11,EUR,Clarification,buyer_6
TTK-50132492,02/4/2020,4-2020,company_a,93659.48,CHF,Closed,buyer_2
TTK-63814169,06/2/2020,2-2020,company_c,34415.7,PLN,In Progress,buyer_9
TTK-29185568,15/5/2020,5-2020,company_b,65023.58,EUR,Clarification,buyer_9
TTK-77510119,17/7/2020,7-2020,company_a,63588.23,EUR,Clarification,buyer_6
TTK-6731655,21/2/2020,2-2020,company_b,29898,EUR,Closed,buyer_7
TTK-40911070,26/3/2020,3-2020,company_c,67835.18,PLN,Clarification,buyer_9
TTK-55878247,08/4/2020,4-2020,company_b,55575.25,USD,Closed,buyer_7
TTK-75151635,09/7/2020,7-2020,company_c,13043.37,CHF,Clarification,buyer_5
TTK-47719164,19/1/2020,1-2020,company_b,19072.31,USD,Closed,buyer_9
TTK-71472398,04/8/2020,8-2020,company_c,55453.54,USD,In Progress,buyer_6
TTK-25321997,13/12/2019,12-2019,company_a,65527.55,CHF,In Progress,buyer_2
TTK-6555996,12/2/2020,2-2020,company_b,98467.44,EUR,In Progress,buyer_4
TTK-43490797,27/1/2020,1-2020,company_b,64363.16,CHF,On hold,buyer_3
TTK-46618052,15/12/2019,12-2019,company_c,29320.21,USD,On hold,buyer_7
TTK-19198096,28/6/2020,6-2020,company_b,20414.23,PLN,Closed,buyer_10
TTK-42425354,25/1/2020,1-2020,company_a,59473.61,PLN,In Progress,buyer_10
TTK-93487052,13/12/2019,12-2019,company_c,54696.3,EUR,In Progress,buyer_6
TTK-92503906,19/4/2020,4-2020,company_b,28520.24,EUR,In Progress,buyer_1
TTK-88242230,25/2/2020,2-2020,company_a,69204.23,PLN,Open,buyer_10
TTK-26447617,05/6/2020,6-2020,company_a,71306.78,PLN,Clarification,buyer_9
TTK-37034008,09/3/2020,3-2020,company_c,37164.82,CHF,In Progress,buyer_8
TTK-84815276,17/4/2020,4-2020,company_a,86101.56,EUR,Closed,buyer_10
TTK-49120853,25/2/2020,2-2020,company_a,16379.57,EUR,Open,buyer_6
TTK-52776217,14/2/2020,2-2020,company_b,4230.59,USD,Closed,buyer_3
TTK-74119301,06/7/2020,7-2020,company_a,83116.62,EUR,On hold,buyer_10
TTK-56554258,19/4/2020,4-2020,company_b,10876.96,PLN,On hold,buyer_8
TTK-68225269,10/5/2020,5-2020,company_a,66832.4,CHF,Clarification,buyer_3
TTK-58255685,12/2/2020,2-2020,company_c,47368.9,CHF,Closed,buyer_10
TTK-52740128,25/5/2020,5-2020,company_a,72909.6,USD,In Progress,buyer_7
TTK-58330000,30/1/2020,1-2020,company_a,46133.74,CHF,In Progress,buyer_10
TTK-41472392,07/3/2020,3-2020,company_c,40298.64,USD,Open,buyer_8
TTK-30772825,26/4/2020,4-2020,company_c,97806.23,EUR,On hold,buyer_6
TTK-73731726,07/2/2020,2-2020,company_a,37819.91,CHF,In Progress,buyer_3
TTK-66381483,26/1/2020,1-2020,company_a,96302.13,PLN,Closed,buyer_10
TTK-25789566,18/3/2020,3-2020,company_c,94819.27,PLN,Clarification,buyer_5
TTK-41730934,10/7/2020,7-2020,company_a,12827.34,EUR,Clarification,buyer_7
TTK-7451150,20/6/2020,6-2020,company_c,15729.3,PLN,Closed,buyer_8
TTK-6017353,30/12/2019,12-2019,company_b,32982,CHF,On hold,buyer_1
TTK-22182239,11/5/2020,5-2020,company_a,62277.97,CHF,Closed,buyer_3
TTK-34725871,01/2/2020,2-2020,company_a,22228.58,PLN,In Progress,buyer_1
TTK-17794695,15/7/2020,7-2020,company_b,44727.98,USD,Clarification,buyer_10
TTK-96674891,09/5/2020,5-2020,company_c,76896.74,PLN,Clarification,buyer_10
TTK-8922552,10/6/2020,6-2020,company_a,92438.54,PLN,Open,buyer_6
TTK-9170089,25/5/2020,5-2020,company_b,93290.5,CHF,Closed,buyer_4
TTK-26111329,02/2/2020,2-2020,company_a,53286.87,CHF,On hold,buyer_2
TTK-13028468,14/8/2020,8-2020,company_a,19749.8,PLN,Open,buyer_4
TTK-68332091,18/3/2020,3-2020,company_c,55760.54,USD,Closed,buyer_9
TTK-97542440,03/3/2020,3-2020,company_c,57927.12,PLN,Open,buyer_8
TTK-38725201,15/3/2020,3-2020,company_c,84395.4,CHF,Open,buyer_9
TTK-92700632,25/1/2020,1-2020,company_b,99304.58,EUR,In Progress,buyer_9
TTK-75169381,03/6/2020,6-2020,company_b,24581.4,CHF,Clarification,buyer_6
TTK-32087413,21/4/2020,4-2020,company_a,56109.53,PLN,Clarification,buyer_2
TTK-46928315,17/6/2020,6-2020,company_a,50277.82,EUR,Open,buyer_3
TTK-96466554,23/4/2020,4-2020,company_c,37189.32,CHF,Closed,buyer_2
TTK-72373485,26/6/2020,6-2020,company_c,17477.4,CHF,Closed,buyer_7
TTK-12920934,22/7/2020,7-2020,company_a,36354.75,CHF,Clarification,buyer_3
TTK-12264424,15/12/2019,12-2019,company_c,72664.51,USD,Closed,buyer_7
TTK-23016743,30/12/2019,12-2019,company_c,16113.58,EUR,On hold,buyer_4
TTK-6347712,06/4/2020,4-2020,company_a,91046.22,EUR,Closed,buyer_8
TTK-53145346,19/2/2020,2-2020,company_b,36161.53,CHF,Closed,buyer_2
TTK-83318841,11/8/2020,8-2020,company_a,80391.28,PLN,Clarification,buyer_1
TTK-36072815,26/7/2020,7-2020,company_a,7335.65,USD,Open,buyer_6
TTK-18026402,15/7/2020,7-2020,company_a,53510.11,PLN,In Progress,buyer_1
TTK-89084912,23/3/2020,3-2020,company_b,74285.25,EUR,Open,buyer_2
TTK-79522514,16/12/2019,12-2019,company_b,26062.23,CHF,Closed,buyer_6
TTK-64847907,28/5/2020,5-2020,company_c,52138.92,CHF,In Progress,buyer_1
TTK-2938759,08/5/2020,5-2020,company_a,17217.31,USD,Clarification,buyer_10
TTK-13552312,16/12/2019,12-2019,company_a,17214.99,CHF,On hold,buyer_10
TTK-26909017,05/4/2020,4-2020,company_b,52956.26,PLN,In Progress,buyer_1
TTK-33801384,06/5/2020,5-2020,company_a,54892.34,USD,Clarification,buyer_6
TTK-54088735,27/4/2020,4-2020,company_b,760.18,CHF,Closed,buyer_5
TTK-6658547,25/5/2020,5-2020,company_b,49109.56,USD,Clarification,buyer_10
TTK-56609865,06/6/2020,6-2020,company_c,63914.22,CHF,Clarification,buyer_6
TTK-56164714,04/2/2020,2-2020,company_c,42596.61,CHF,Clarification,buyer_9
TTK-49185006,11/4/2020,4-2020,company_b,20344.11,CHF,Clarification,buyer_7
TTK-94916685,26/5/2020,5-2020,company_c,89299.78,USD,In Progress,buyer_2
TTK-89362178,04/1/2020,1-2020,company_c,93993.68,PLN,Clarification,buyer_2
TTK-34959142,15/1/2020,1-2020,company_c,99665.1,PLN,On hold,buyer_5
TTK-12277104,27/12/2019,12-2019,company_c,6063.7,CHF,Closed,buyer_5
TTK-96515780,13/1/2020,1-2020,company_b,25597.91,USD,Open,buyer_5
TTK-28937212,12/7/2020,7-2020,company_a,2290.17,USD,On hold,buyer_2
TTK-21675022,17/2/2020,2-2020,company_b,64492.33,USD,Open,buyer_7
TTK-65969981,12/6/2020,6-2020,company_c,20965.56,EUR,Open,buyer_10
